id,name_th
P1,ประถมศึกษาปีที่ 1
P2,ประถมศึกษาปีที่ 2
P3,ประถมศึกษาปีที่ 3
P4,ประถมศึกษาปีที่ 4
P5,ประถมศึกษาปีที่ 5
P6,ประถมศึกษาปีที่ 6
